node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PJA1	ZNRF1	4442591	4440640	9606.ENSP00000355014	9606.ENSP00000335091	0	0	0	0	0.064	0	0.900	0	0.902
GNG2	PENK	4440566	4439673	9606.ENSP00000334448	9606.ENSP00000324248	0	0	0	0	0.061	0	0.900	0.049	0.902
SUFU	PRKAR2B	4443420	4435635	9606.ENSP00000358918	9606.ENSP00000265717	0	0	0	0	0.061	0	0.900	0	0.902
GRM8	CX3CL1	4441396	4432567	9606.ENSP00000344173	9606.ENSP00000006053	0	0	0	0	0.062	0	0.900	0	0.902
PDLIM7	GFRA1	4441798	4441735	9606.ENSP00000348099	9606.ENSP00000347591	0	0	0	0	0.061	0	0.900	0	0.902
F5	SEC16B	4442956	4438404	9606.ENSP00000356771	9606.ENSP00000308339	0	0	0	0	0.062	0	0.900	0	0.902
ART3	THY1	4441793	4436571	9606.ENSP00000348064	9606.ENSP00000284240	0	0	0	0	0.061	0	0.900	0	0.902
TGFB2	F8	4442765	4442351	9606.ENSP00000355896	9606.ENSP00000353393	0	0	0	0	0	0	0.900	0.064	0.902
TLE2	KAT5	4450814	4441035	9606.ENSP00000466542	9606.ENSP00000340330	0	0	0	0	0.062	0	0.900	0	0.902
DYNC1I1	COPE	4439335	4435143	9606.ENSP00000320130	9606.ENSP00000262812	0	0	0	0	0.061	0	0.900	0	0.902
GRM1	GNG2	4442566	4440566	9606.ENSP00000354896	9606.ENSP00000334448	0	0	0	0	0.061	0	0.900	0	0.902
LPAR1	CHRM1	4444391	4438226	9606.ENSP00000363553	9606.ENSP00000306490	0	0	0	0	0	0	0.900	0.063	0.902
ANXA1	P2RY1	4444796	4438073	9606.ENSP00000366109	9606.ENSP00000304767	0	0	0	0	0.061	0	0.900	0	0.902
KCNC2	PRKAR2B	4450280	4435635	9606.ENSP00000449253	9606.ENSP00000265717	0	0	0	0	0.063	0	0.900	0	0.902
INSL5	MCHR1	4437887	4434080	9606.ENSP00000302724	9606.ENSP00000249016	0	0	0	0	0.061	0	0.900	0	0.902
GNG12	VIP	4443646	4442841	9606.ENSP00000360021	9606.ENSP00000356213	0	0	0	0	0.052	0	0.900	0	0.901
VIP	GNG2	4442841	4440566	9606.ENSP00000356213	9606.ENSP00000334448	0	0	0	0	0.052	0	0.900	0	0.901
CBX2	MECOM	4438444	4435476	9606.ENSP00000308750	9606.ENSP00000264674	0	0	0	0	0	0.058	0.900	0	0.901
EDNRA	MCHR2	4438963	4436446	9606.ENSP00000315011	9606.ENSP00000281806	0	0	0	0.580	0	0	0.900	0.082	0.901
EDNRA	PIK3R3	4438963	4435132	9606.ENSP00000315011	9606.ENSP00000262741	0	0	0	0	0	0.057	0.900	0	0.901
SYNJ2	LRP2	4441760	4435321	9606.ENSP00000347792	9606.ENSP00000263816	0	0	0	0	0	0	0.900	0.055	0.901
EPHB6	NGEF	4451629	4435368	9606.ENSP00000481994	9606.ENSP00000264051	0	0	0	0	0.088	0.087	0.800	0.478	0.901
GNG12	SST	4443646	4436733	9606.ENSP00000360021	9606.ENSP00000287641	0	0	0	0	0	0	0.900	0.054	0.901
ANXA1	ADRA1B	4444796	4438245	9606.ENSP00000366109	9606.ENSP00000306662	0	0	0	0	0	0	0.900	0.053	0.901
GRM2	CCR4	4446365	4440381	9606.ENSP00000378492	9606.ENSP00000332659	0	0	0	0	0	0.057	0.900	0	0.901
ADCYAP1	GNG12	4450674	4443646	9606.ENSP00000462647	9606.ENSP00000360021	0	0	0	0	0.052	0	0.900	0	0.901
CEBPB	MED31	4438125	4433333	9606.ENSP00000305422	9606.ENSP00000225728	0	0	0	0	0	0	0.900	0.056	0.901
GRM8	CCR1	4441396	4437243	9606.ENSP00000344173	9606.ENSP00000296140	0	0	0	0	0	0.057	0.900	0	0.901
MATN3	VGF	4447047	4434091	9606.ENSP00000383894	9606.ENSP00000249330	0	0	0	0	0.060	0	0.900	0	0.901
PCSK9	IGFBP5	4437942	4433604	9606.ENSP00000303208	9606.ENSP00000233813	0	0	0	0	0	0	0.900	0.056	0.901
MAGED2	TGFB2	4444497	4442765	9606.ENSP00000364209	9606.ENSP00000355896	0	0	0	0	0.058	0	0.900	0	0.901
FLRT2	FGF6	4440407	4433431	9606.ENSP00000332879	9606.ENSP00000228837	0	0	0	0	0	0	0.900	0.058	0.901
MCHR2	PIK3R3	4436446	4435132	9606.ENSP00000281806	9606.ENSP00000262741	0	0	0	0	0	0.057	0.900	0	0.901
CDH1	CDH9	4434944	4433519	9606.ENSP00000261769	9606.ENSP00000231021	0	0	0	0.786	0	0	0.900	0.105	0.901
CBX2	EGR1	4438444	4433758	9606.ENSP00000308750	9606.ENSP00000239938	0	0	0	0	0	0.058	0.900	0	0.901
PIK3R3	MCHR1	4435132	4434080	9606.ENSP00000262741	9606.ENSP00000249016	0	0	0	0	0	0.057	0.900	0	0.901
ANXA1	ADCY2	4444796	4441294	9606.ENSP00000366109	9606.ENSP00000342952	0	0	0	0	0	0	0.900	0.060	0.901
GPSM1	NPY	4447769	4447109	9606.ENSP00000392828	9606.ENSP00000384364	0	0	0	0	0	0	0.900	0.053	0.901
TNRC6B	SRC	4448205	4444215	9606.ENSP00000401946	9606.ENSP00000362680	0	0	0	0	0	0	0.900	0.055	0.901
GFRA1	PIK3R3	4441735	4435132	9606.ENSP00000347591	9606.ENSP00000262741	0	0	0	0	0.055	0	0.900	0	0.901
GSTA2	STAT4	4449091	4446006	9606.ENSP00000420168	9606.ENSP00000376134	0	0	0	0	0	0	0.900	0.056	0.901
GPSM1	MCHR2	4447769	4436446	9606.ENSP00000392828	9606.ENSP00000281806	0	0	0	0	0	0	0.900	0.060	0.901
GRM2	CXCL8	4446365	4438229	9606.ENSP00000378492	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0.053	0.901
CHD7	NLK	4447723	4447146	9606.ENSP00000392028	9606.ENSP00000384625	0	0	0	0	0	0	0.900	0.054	0.901
CHN1	CLTA	4447417	4433816	9606.ENSP00000386741	9606.ENSP00000242285	0	0	0	0	0	0	0.900	0.057	0.901
CCK	GPR4	4446515	4439307	9606.ENSP00000379472	9606.ENSP00000319744	0	0	0	0	0	0	0.900	0.054	0.901
GRM8	GNG2	4441396	4440566	9606.ENSP00000344173	9606.ENSP00000334448	0	0	0	0	0.052	0	0.900	0	0.901
TF	LRP2	4447279	4435321	9606.ENSP00000385834	9606.ENSP00000263816	0	0	0	0	0	0	0.900	0.057	0.901
FOS	HIST1H2BD	4438204	4436804	9606.ENSP00000306245	9606.ENSP00000289316	0	0	0	0	0	0	0.900	0.058	0.901
SH3KBP1	PIK3AP1	4446733	4440995	9606.ENSP00000380921	9606.ENSP00000339826	0	0	0	0	0	0	0.900	0.055	0.901
GPSM1	SST	4447769	4436733	9606.ENSP00000392828	9606.ENSP00000287641	0	0	0	0	0	0	0.900	0.058	0.901
GNG2	CXCL8	4440566	4438229	9606.ENSP00000334448	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0.054	0.901
ADM	GPR83	4449788	4433863	9606.ENSP00000436607	9606.ENSP00000243673	0	0	0	0	0	0	0.900	0.059	0.901
COL11A2	CASP8	4444442	4442125	9606.ENSP00000363840	9606.ENSP00000351273	0	0	0	0	0	0	0.900	0.052	0.901
GRM2	CCR1	4446365	4437243	9606.ENSP00000378492	9606.ENSP00000296140	0	0	0	0	0	0.057	0.900	0	0.901
PROS1	MAGED2	4446246	4444497	9606.ENSP00000377783	9606.ENSP00000364209	0	0	0	0	0.051	0	0.900	0	0.901
IGFBP3	VGF	4445494	4434091	9606.ENSP00000370473	9606.ENSP00000249330	0	0	0	0	0	0	0.900	0.058	0.901
SH3KBP1	LRP2	4446733	4435321	9606.ENSP00000380921	9606.ENSP00000263816	0	0	0	0	0.045	0	0.900	0.050	0.901
CCKBR	PIK3R3	4440681	4435132	9606.ENSP00000335544	9606.ENSP00000262741	0	0	0	0	0	0.057	0.900	0	0.901
EDNRB	PIK3R3	4444853	4435132	9606.ENSP00000366416	9606.ENSP00000262741	0	0	0	0	0	0.057	0.900	0	0.901
DYNC1I1	YKT6	4439335	4433283	9606.ENSP00000320130	9606.ENSP00000223369	0	0	0	0	0.059	0	0.900	0	0.901
FGF9	KAL1	4445677	4435121	9606.ENSP00000371790	9606.ENSP00000262648	0	0	0	0	0	0	0.900	0.059	0.901
ADCYAP1	GPR176	4450674	4450416	9606.ENSP00000462647	9606.ENSP00000453076	0	0	0	0	0	0	0.900	0	0.900
HRNR	LYZ	4443191	4434847	9606.ENSP00000357791	9606.ENSP00000261267	0	0	0	0	0	0	0.900	0	0.900
MATN3	APOE	4447047	4434227	9606.ENSP00000383894	9606.ENSP00000252486	0	0	0	0	0	0	0.900	0	0.900
ATP6AP2	FCER1G	4445054	4436828	9606.ENSP00000367697	9606.ENSP00000289902	0	0	0	0	0	0	0.900	0	0.900
MAGED2	F8	4444497	4442351	9606.ENSP00000364209	9606.ENSP00000353393	0	0	0	0	0	0	0.900	0	0.900
LY6H	CD109	4448073	4436708	9606.ENSP00000399485	9606.ENSP00000287097	0	0	0	0	0	0	0.900	0	0.900
OR4A47	RTP5	4448659	4441515	9606.ENSP00000412752	9606.ENSP00000345374	0	0	0	0	0	0	0.900	0	0.900
LDLRAP1	SYNJ2	4444372	4441760	9606.ENSP00000363458	9606.ENSP00000347792	0	0	0	0	0	0	0.900	0	0.900
GRIA1	F5	4449480	4442956	9606.ENSP00000428994	9606.ENSP00000356771	0	0	0	0	0	0	0.900	0	0.900
PPIL6	ELAVL2	4447734	4446670	9606.ENSP00000392257	9606.ENSP00000380479	0	0	0	0	0	0	0.900	0	0.900
LPL	MED31	4438536	4433333	9606.ENSP00000309757	9606.ENSP00000225728	0	0	0	0	0	0	0.900	0	0.900
APLNR	MCHR2	4451129	4436446	9606.ENSP00000475344	9606.ENSP00000281806	0	0	0	0.667	0	0	0.900	0	0.900
GNG12	CXCL8	4443646	4438229	9606.ENSP00000360021	9606.ENSP00000306512	0	0	0	0	0	0	0.900	0	0.900
CCR4	MCHR1	4440381	4434080	9606.ENSP00000332659	9606.ENSP00000249016	0	0	0	0.636	0	0	0.900	0.044	0.900
RTP5	OR13C8	4441515	4440522	9606.ENSP00000345374	9606.ENSP00000334068	0	0	0	0	0	0	0.900	0	0.900
SCG2	FSTL1	4438023	4437169	9606.ENSP00000304133	9606.ENSP00000295633	0	0	0	0	0	0	0.900	0.046	0.900
ANXA1	INSL5	4444796	4437887	9606.ENSP00000366109	9606.ENSP00000302724	0	0	0	0	0	0	0.900	0.049	0.900
GRM1	GPR4	4442566	4439307	9606.ENSP00000354896	9606.ENSP00000319744	0	0	0	0	0	0	0.900	0	0.900
CST3	F5	4446810	4442956	9606.ENSP00000381448	9606.ENSP00000356771	0	0	0	0	0	0	0.900	0	0.900
LPAR1	CCKBR	4444391	4440681	9606.ENSP00000363553	9606.ENSP00000335544	0	0	0	0	0	0	0.900	0	0.900
F5	SCG2	4442956	4438023	9606.ENSP00000356771	9606.ENSP00000304133	0	0	0	0	0	0	0.900	0	0.900
CYR61	F5	4448043	4442956	9606.ENSP00000398736	9606.ENSP00000356771	0	0	0	0	0	0	0.900	0	0.900
GNG2	CX3CL1	4440566	4432567	9606.ENSP00000334448	9606.ENSP00000006053	0	0	0	0	0	0	0.900	0	0.900
PENK	CCR1	4439673	4437243	9606.ENSP00000324248	9606.ENSP00000296140	0	0	0	0	0	0	0.900	0	0.900
CCR4	INSL5	4440381	4437887	9606.ENSP00000332659	9606.ENSP00000302724	0	0	0	0	0	0	0.900	0	0.900
REEP1	OR4A47	4449862	4448659	9606.ENSP00000438346	9606.ENSP00000412752	0	0	0	0	0	0	0.900	0	0.900
TF	SH3KBP1	4447279	4446733	9606.ENSP00000385834	9606.ENSP00000380921	0	0	0	0	0	0	0.900	0	0.900
OR4F5	RTP1	4440559	4438720	9606.ENSP00000334393	9606.ENSP00000311712	0	0	0	0	0	0	0.900	0	0.900
MAGED2	F5	4444497	4442956	9606.ENSP00000364209	9606.ENSP00000356771	0	0	0	0	0	0	0.900	0	0.900
HMGA1	UBN1	4448092	4446581	9606.ENSP00000399888	9606.ENSP00000379894	0	0	0	0	0	0	0.900	0	0.900
CXCL12	PRKAR2B	4446453	4435635	9606.ENSP00000379140	9606.ENSP00000265717	0	0	0	0	0	0	0.900	0	0.900
F5	IGFBP5	4442956	4433604	9606.ENSP00000356771	9606.ENSP00000233813	0	0	0	0	0	0	0.900	0.046	0.900
PAK1	SEMA3A	4436295	4435593	9606.ENSP00000278568	9606.ENSP00000265362	0	0	0	0	0	0	0.900	0	0.900
SCG2	IGFBP4	4438023	4435901	9606.ENSP00000304133	9606.ENSP00000269593	0	0	0	0	0	0	0.900	0	0.900
TF	LDLRAP1	4447279	4444372	9606.ENSP00000385834	9606.ENSP00000363458	0	0	0	0	0	0	0.900	0	0.900
CLTA	EFNB3	4433816	4433353	9606.ENSP00000242285	9606.ENSP00000226091	0	0	0	0	0	0	0.900	0	0.900
GNG2	INSL5	4440566	4437887	9606.ENSP00000334448	9606.ENSP00000302724	0	0	0	0	0	0	0.900	0	0.900
MDGA2	ART3	4446901	4441793	9606.ENSP00000382178	9606.ENSP00000348064	0	0	0	0	0	0	0.900	0	0.900
CCK	GNG12	4446515	4443646	9606.ENSP00000379472	9606.ENSP00000360021	0	0	0	0	0	0	0.900	0.050	0.900
MATN3	PENK	4447047	4439673	9606.ENSP00000383894	9606.ENSP00000324248	0	0	0	0	0	0	0.900	0	0.900
CCKBR	GPR4	4440681	4439307	9606.ENSP00000335544	9606.ENSP00000319744	0	0	0	0	0	0	0.900	0	0.900
EDNRA	MCHR1	4438963	4434080	9606.ENSP00000315011	9606.ENSP00000249016	0	0	0	0.587	0	0	0.900	0.049	0.900
GPSM1	CXCL12	4447769	4446453	9606.ENSP00000392828	9606.ENSP00000379140	0	0	0	0	0	0	0.900	0	0.900
RNASET2	TTR	4449364	4433675	9606.ENSP00000426455	9606.ENSP00000237014	0	0	0	0	0	0	0.900	0	0.900
GNG12	NTS	4443646	4434454	9606.ENSP00000360021	9606.ENSP00000256010	0	0	0	0	0	0	0.900	0	0.900
RNASET2	HRNR	4449364	4443191	9606.ENSP00000426455	9606.ENSP00000357791	0	0	0	0	0	0	0.900	0	0.900
ANXA1	GRM1	4444796	4442566	9606.ENSP00000366109	9606.ENSP00000354896	0	0	0	0	0	0	0.900	0	0.900
NCALD	CLTA	4446475	4433816	9606.ENSP00000379256	9606.ENSP00000242285	0	0	0	0	0	0	0.900	0.043	0.900
GRM8	INSL5	4441396	4437887	9606.ENSP00000344173	9606.ENSP00000302724	0	0	0	0	0.049	0	0.900	0	0.900
GPSM1	MCHR1	4447769	4434080	9606.ENSP00000392828	9606.ENSP00000249016	0	0	0	0	0	0	0.900	0	0.900
LRP2	CLTA	4435321	4433816	9606.ENSP00000263816	9606.ENSP00000242285	0	0	0	0	0	0	0.900	0.048	0.900
SNAP25	YKT6	4434401	4433283	9606.ENSP00000254976	9606.ENSP00000223369	0	0	0	0	0.062	0.312	0.540	0.705	0.900
LPAR1	INSL5	4444391	4437887	9606.ENSP00000363553	9606.ENSP00000302724	0	0	0	0	0	0	0.900	0	0.900
PENK	CP	4439673	4435459	9606.ENSP00000324248	9606.ENSP00000264613	0	0	0	0	0	0	0.900	0	0.900
OR5L2	RTP5	4445047	4441515	9606.ENSP00000367650	9606.ENSP00000345374	0	0	0	0	0	0	0.900	0	0.900
CYR61	CP	4448043	4435459	9606.ENSP00000398736	9606.ENSP00000264613	0	0	0	0	0	0	0.900	0	0.900
NPY	GNG12	4447109	4443646	9606.ENSP00000384364	9606.ENSP00000360021	0	0	0	0	0	0	0.900	0	0.900
CGA	GNG2	4451648	4440566	9606.ENSP00000482232	9606.ENSP00000334448	0	0	0	0	0	0	0.900	0	0.900
NSF	F8	4446795	4442351	9606.ENSP00000381293	9606.ENSP00000353393	0	0	0	0	0	0	0.900	0	0.900
IGFBP3	CHGB	4445494	4445138	9606.ENSP00000370473	9606.ENSP00000368244	0	0	0	0	0	0	0.900	0	0.900
CHGB	FSTL1	4445138	4437169	9606.ENSP00000368244	9606.ENSP00000295633	0	0	0	0	0	0	0.900	0	0.900
CGA	GPR176	4451648	4450416	9606.ENSP00000482232	9606.ENSP00000453076	0	0	0	0	0	0	0.900	0	0.900
FSTL1	VGF	4437169	4434091	9606.ENSP00000295633	9606.ENSP00000249330	0	0	0	0	0	0	0.900	0	0.900
GPSM1	ACKR3	4447769	4436051	9606.ENSP00000392828	9606.ENSP00000272928	0	0	0	0	0	0	0.900	0	0.900
PAK1	FCGR2A	4436295	4435978	9606.ENSP00000278568	9606.ENSP00000271450	0	0	0	0	0	0	0.900	0	0.900
MATN3	F5	4447047	4442956	9606.ENSP00000383894	9606.ENSP00000356771	0	0	0	0	0	0	0.900	0	0.900
CBX2	MAPK14	4438444	4433482	9606.ENSP00000308750	9606.ENSP00000229795	0	0	0	0	0	0	0.900	0.050	0.900
GRIA1	F8	4449480	4442351	9606.ENSP00000428994	9606.ENSP00000353393	0	0	0	0	0	0	0.900	0	0.900
NPC2	HRNR	4450343	4443191	9606.ENSP00000451112	9606.ENSP00000357791	0	0	0	0	0	0	0.900	0	0.900
NTNG1	ART3	4443452	4441793	9606.ENSP00000359085	9606.ENSP00000348064	0	0	0	0	0	0	0.900	0	0.900
CLTB	LRP2	4438496	4435321	9606.ENSP00000309415	9606.ENSP00000263816	0	0	0	0	0	0	0.900	0.044	0.900
INSL5	MCHR2	4437887	4436446	9606.ENSP00000302724	9606.ENSP00000281806	0	0	0	0	0	0	0.900	0	0.900
FCER1G	PIK3R3	4436828	4435132	9606.ENSP00000289902	9606.ENSP00000262741	0	0	0	0	0	0	0.900	0	0.900
PIK3R3	NTS	4435132	4434454	9606.ENSP00000262741	9606.ENSP00000256010	0	0	0	0	0	0	0.900	0	0.900
GNG12	GPR4	4443646	4439307	9606.ENSP00000360021	9606.ENSP00000319744	0	0	0	0	0	0	0.900	0	0.900
ANXA1	OPRD1	4444796	4433642	9606.ENSP00000366109	9606.ENSP00000234961	0	0	0	0	0	0	0.900	0.041	0.900
PSMB8	AJUBA	4444469	4435126	9606.ENSP00000364016	9606.ENSP00000262713	0	0	0	0	0	0	0.900	0	0.900
GFRA2	PDLIM7	4449453	4441798	9606.ENSP00000428518	9606.ENSP00000348099	0	0	0	0	0	0	0.900	0	0.900
OR5L2	RTP1	4445047	4438720	9606.ENSP00000367650	9606.ENSP00000311712	0	0	0	0	0	0	0.900	0	0.900
RTP5	OR7G3	4441515	4437906	9606.ENSP00000345374	9606.ENSP00000302867	0	0	0	0	0	0	0.900	0	0.900
GPR4	PIK3R3	4439307	4435132	9606.ENSP00000319744	9606.ENSP00000262741	0	0	0	0	0	0	0.900	0	0.900
GPSM1	CCR1	4447769	4437243	9606.ENSP00000392828	9606.ENSP00000296140	0	0	0	0	0	0	0.900	0	0.900
RPS6KA2	CLTA	4449383	4433816	9606.ENSP00000427015	9606.ENSP00000242285	0	0	0	0	0	0	0.900	0	0.900
PRKAR1B	EDN1	4447267	4445200	9606.ENSP00000385749	9606.ENSP00000368683	0	0	0	0	0	0	0.900	0	0.900
HRNR	TTR	4443191	4433675	9606.ENSP00000357791	9606.ENSP00000237014	0	0	0	0	0	0	0.900	0	0.900
MCHR2	CX3CL1	4436446	4432567	9606.ENSP00000281806	9606.ENSP00000006053	0	0	0	0	0	0	0.900	0.046	0.900
TNRC6B	CDKN2C	4448205	4435124	9606.ENSP00000401946	9606.ENSP00000262662	0	0	0	0	0	0	0.900	0	0.900
MAFG	HBB	4442042	4440511	9606.ENSP00000350369	9606.ENSP00000333994	0	0	0	0	0	0	0.900	0	0.900
GNG12	CX3CL1	4443646	4432567	9606.ENSP00000360021	9606.ENSP00000006053	0	0	0	0	0	0	0.900	0	0.900
INSL5	CCR1	4437887	4437243	9606.ENSP00000302724	9606.ENSP00000296140	0	0	0	0	0	0	0.900	0	0.900
REEP1	OR13C8	4449862	4440522	9606.ENSP00000438346	9606.ENSP00000334068	0	0	0	0	0	0	0.900	0	0.900
CXCL12	INSL5	4446453	4437887	9606.ENSP00000379140	9606.ENSP00000302724	0	0	0	0	0	0	0.900	0	0.900
APLNR	ANXA1	4451129	4444796	9606.ENSP00000475344	9606.ENSP00000366109	0	0	0	0	0	0	0.900	0	0.900
PAX6	HIST1H2BD	4448302	4436804	9606.ENSP00000404100	9606.ENSP00000289316	0	0	0	0	0	0	0.900	0	0.900
MATN3	CP	4447047	4435459	9606.ENSP00000383894	9606.ENSP00000264613	0	0	0	0	0	0	0.900	0	0.900
TMC6	ATP6AP2	4450770	4445054	9606.ENSP00000465261	9606.ENSP00000367697	0	0	0	0	0	0	0.900	0	0.900
KIF3A	COPE	4447275	4435143	9606.ENSP00000385808	9606.ENSP00000262812	0	0	0	0	0	0	0.900	0	0.900
ANXA1	CCKBR	4444796	4440681	9606.ENSP00000366109	9606.ENSP00000335544	0	0	0	0	0	0	0.900	0	0.900
KCNQ5	CLTA	4441485	4433816	9606.ENSP00000345055	9606.ENSP00000242285	0	0	0	0	0	0	0.900	0	0.900
EPHB6	CLTA	4451629	4433816	9606.ENSP00000481994	9606.ENSP00000242285	0	0	0	0	0	0	0.900	0	0.900
IGFBP3	PENK	4445494	4439673	9606.ENSP00000370473	9606.ENSP00000324248	0	0	0	0	0	0	0.900	0	0.900
LPAR1	MCHR2	4444391	4436446	9606.ENSP00000363553	9606.ENSP00000281806	0	0	0	0	0	0	0.900	0	0.900
LMO4	STAT1	4443567	4442456	9606.ENSP00000359575	9606.ENSP00000354394	0	0	0	0	0	0	0.900	0	0.900
CGA	GPR83	4451648	4433863	9606.ENSP00000482232	9606.ENSP00000243673	0	0	0	0	0	0	0.900	0	0.900
GNG12	KCNJ2	4443646	4433856	9606.ENSP00000360021	9606.ENSP00000243457	0	0	0	0	0	0	0.900	0	0.900
ANXA1	GPR37L1	4444796	4442851	9606.ENSP00000366109	9606.ENSP00000356251	0	0	0	0	0	0	0.900	0	0.900
SNAP25	CD93	4434401	4433960	9606.ENSP00000254976	9606.ENSP00000246006	0	0	0	0	0	0	0.900	0	0.900
MDGA1	CD109	4448238	4436708	9606.ENSP00000402584	9606.ENSP00000287097	0	0	0	0	0	0	0.900	0	0.900
ROR2	CLTA	4444612	4433816	9606.ENSP00000364860	9606.ENSP00000242285	0	0	0	0	0	0	0.900	0	0.900
GPSM1	GNG2	4447769	4440566	9606.ENSP00000392828	9606.ENSP00000334448	0	0	0	0	0	0	0.900	0	0.900
GPR4	MCHR1	4439307	4434080	9606.ENSP00000319744	9606.ENSP00000249016	0	0	0	0.641	0	0	0.900	0.055	0.900
LY6H	ART3	4448073	4441793	9606.ENSP00000399485	9606.ENSP00000348064	0	0	0	0	0	0	0.900	0	0.900
CCK	PIK3R3	4446515	4435132	9606.ENSP00000379472	9606.ENSP00000262741	0	0	0	0	0	0	0.900	0	0.900
ACTN1	MAGED2	4446270	4444497	9606.ENSP00000377941	9606.ENSP00000364209	0	0	0	0	0	0	0.900	0	0.900
ANXA1	PIK3R3	4444796	4435132	9606.ENSP00000366109	9606.ENSP00000262741	0	0	0	0	0	0	0.900	0	0.900
KCNS3	AKAP5	4447294	4446311	9606.ENSP00000385968	9606.ENSP00000378207	0	0	0	0	0	0	0.900	0	0.900
EYA1	HIST1H2BD	4441270	4436804	9606.ENSP00000342626	9606.ENSP00000289316	0	0	0	0	0	0	0.900	0.048	0.900
TNRC6B	E2F1	4448205	4441534	9606.ENSP00000401946	9606.ENSP00000345571	0	0	0	0	0	0	0.900	0	0.900
HRNR	AGA	4443191	4435453	9606.ENSP00000357791	9606.ENSP00000264595	0	0	0	0	0	0	0.900	0	0.900
MZT2B	PRKAR2B	4436451	4435635	9606.ENSP00000281871	9606.ENSP00000265717	0	0	0	0	0	0	0.900	0	0.900
CD177	TMC6	4451398	4450770	9606.ENSP00000479536	9606.ENSP00000465261	0	0	0	0	0	0	0.900	0	0.900
ADCY2	INSL5	4441294	4437887	9606.ENSP00000342952	9606.ENSP00000302724	0	0	0	0	0	0	0.900	0	0.900
CHGB	IGFBP4	4445138	4435901	9606.ENSP00000368244	9606.ENSP00000269593	0	0	0	0	0	0	0.900	0	0.900
HIST1H2BD	AJUBA	4436804	4435126	9606.ENSP00000289316	9606.ENSP00000262713	0	0	0	0	0	0	0.900	0	0.900
TMC6	FCER1G	4450770	4436828	9606.ENSP00000465261	9606.ENSP00000289902	0	0	0	0	0	0	0.900	0	0.900
CASP8	COL6A3	4442125	4437161	9606.ENSP00000351273	9606.ENSP00000295550	0	0	0	0	0	0	0.900	0	0.900
TF	VGF	4447279	4434091	9606.ENSP00000385834	9606.ENSP00000249330	0	0	0	0	0	0	0.900	0.050	0.900
GPSM1	GNG12	4447769	4443646	9606.ENSP00000392828	9606.ENSP00000360021	0	0	0	0	0	0	0.900	0	0.900
RTP5	OR4F5	4441515	4440559	9606.ENSP00000345374	9606.ENSP00000334393	0	0	0	0	0	0	0.900	0	0.900
EDNRB	ANXA1	4444853	4444796	9606.ENSP00000366416	9606.ENSP00000366109	0	0	0	0	0	0	0.900	0.049	0.900
GRM2	ANXA1	4446365	4444796	9606.ENSP00000378492	9606.ENSP00000366109	0	0	0	0	0	0	0.900	0	0.900
FSTL1	CP	4437169	4435459	9606.ENSP00000295633	9606.ENSP00000264613	0	0	0	0	0	0	0.900	0	0.900
CHRM1	PIK3R3	4438226	4435132	9606.ENSP00000306490	9606.ENSP00000262741	0	0	0	0	0	0	0.900	0	0.900
EPHB6	CLTB	4451629	4438496	9606.ENSP00000481994	9606.ENSP00000309415	0	0	0	0	0	0	0.900	0	0.900
GRM2	GNG12	4446365	4443646	9606.ENSP00000378492	9606.ENSP00000360021	0	0	0	0	0	0	0.900	0	0.900
CYR61	VGF	4448043	4434091	9606.ENSP00000398736	9606.ENSP00000249330	0	0	0	0	0	0	0.900	0.046	0.900
PPAP2C	LPL	4440122	4438536	9606.ENSP00000329697	9606.ENSP00000309757	0	0	0	0	0	0	0.900	0	0.900
TF	CLTB	4447279	4438496	9606.ENSP00000385834	9606.ENSP00000309415	0	0	0	0	0	0	0.900	0	0.900
CCR1	MCHR2	4437243	4436446	9606.ENSP00000296140	9606.ENSP00000281806	0	0	0	0.655	0	0	0.900	0	0.900
CP	VGF	4435459	4434091	9606.ENSP00000264613	9606.ENSP00000249330	0	0	0	0	0	0	0.900	0	0.900
RTP1	OR7G3	4438720	4437906	9606.ENSP00000311712	9606.ENSP00000302867	0	0	0	0	0	0	0.900	0	0.900
CBX2	HIST1H2BD	4438444	4436804	9606.ENSP00000308750	9606.ENSP00000289316	0	0	0	0	0	0	0.900	0.050	0.900
CHGB	F5	4445138	4442956	9606.ENSP00000368244	9606.ENSP00000356771	0	0	0	0	0	0	0.900	0	0.900
GPR4	ADRA1B	4439307	4438245	9606.ENSP00000319744	9606.ENSP00000306662	0	0	0	0	0	0	0.900	0	0.900
OR13C8	RTP1	4440522	4438720	9606.ENSP00000334068	9606.ENSP00000311712	0	0	0	0	0	0	0.900	0	0.900
MGAM	ATP6AP2	4450229	4445054	9606.ENSP00000447378	9606.ENSP00000367697	0	0	0	0	0	0	0.900	0	0.900
LDLRAP1	SYT2	4444372	4442848	9606.ENSP00000363458	9606.ENSP00000356236	0	0	0	0	0	0	0.900	0	0.900
OR4A47	RTP1	4448659	4438720	9606.ENSP00000412752	9606.ENSP00000311712	0	0	0	0	0	0	0.900	0	0.900
GPR37L1	ACKR3	4442851	4436051	9606.ENSP00000356251	9606.ENSP00000272928	0	0	0	0	0	0	0.900	0	0.900
